scenario,kendall_tau_vs_baseline,winner
gpqa_diamond_x0.8,1.0000000000,claude-fable-5
gpqa_diamond_x0.9,1.0000000000,claude-fable-5
gpqa_diamond_x1.1,1.0000000000,claude-fable-5
gpqa_diamond_x1.2,1.0000000000,claude-fable-5
hle_full_no_tools_x0.8,1.0000000000,claude-fable-5
hle_full_no_tools_x0.9,1.0000000000,claude-fable-5
hle_full_no_tools_x1.1,1.0000000000,claude-fable-5
hle_full_no_tools_x1.2,0.8000000000,claude-fable-5
aa_lcr_x0.8,1.0000000000,claude-fable-5
aa_lcr_x0.9,1.0000000000,claude-fable-5
aa_lcr_x1.1,1.0000000000,claude-fable-5
aa_lcr_x1.2,1.0000000000,claude-fable-5
scicode_x0.8,1.0000000000,claude-fable-5
scicode_x0.9,1.0000000000,claude-fable-5
scicode_x1.1,1.0000000000,claude-fable-5
scicode_x1.2,1.0000000000,claude-fable-5
gdpval_aa_v2_x0.8,1.0000000000,claude-fable-5
gdpval_aa_v2_x0.9,1.0000000000,claude-fable-5
gdpval_aa_v2_x1.1,1.0000000000,claude-fable-5
gdpval_aa_v2_x1.2,1.0000000000,claude-fable-5
mmmu_pro_no_tools_x0.8,1.0000000000,claude-fable-5
mmmu_pro_no_tools_x0.9,1.0000000000,claude-fable-5
mmmu_pro_no_tools_x1.1,1.0000000000,claude-fable-5
mmmu_pro_no_tools_x1.2,1.0000000000,claude-fable-5
omnidocbench_x0.8,1.0000000000,claude-fable-5
omnidocbench_x0.9,1.0000000000,claude-fable-5
omnidocbench_x1.1,1.0000000000,claude-fable-5
omnidocbench_x1.2,1.0000000000,claude-fable-5
charxiv_rq_no_tools_x0.8,1.0000000000,claude-fable-5
charxiv_rq_no_tools_x0.9,1.0000000000,claude-fable-5
charxiv_rq_no_tools_x1.1,1.0000000000,claude-fable-5
charxiv_rq_no_tools_x1.2,1.0000000000,claude-fable-5
mathvision_no_tools_x0.8,1.0000000000,claude-fable-5
mathvision_no_tools_x0.9,1.0000000000,claude-fable-5
mathvision_no_tools_x1.1,1.0000000000,claude-fable-5
mathvision_no_tools_x1.2,1.0000000000,claude-fable-5
